Date,Open,High,Low,Close,Adj Close,Volume
02-01-2009,3.06375,3.15625,3.02,3.14375,2.402604,14917600
05-01-2009,3.0975,3.2675,3.0975,3.24875,2.48285,20835200
06-01-2009,3.25,3.37375,3.22125,3.325,2.541124,30572000
07-01-2009,3.16625,3.53875,3.14375,3.3675,2.573604,51324800
08-01-2009,3.33375,3.40625,3.285,3.33,2.544945,22020800
09-01-2009,3.4175,3.42375,3.22625,3.30875,2.528704,17408000
12-01-2009,3.2075,3.3475,3.1925,3.235,2.472342,30562400
13-01-2009,3.40625,3.51875,3.32625,3.425,2.617549,41921600
14-01-2009,3.4125,3.42375,3.28125,3.30375,2.524884,34449600
15-01-2009,3.3,3.44125,3.2325,3.39375,2.593666,25572000
16-01-2009,3.4525,3.48125,3.35625,3.4625,2.646208,22836800
20-01-2009,3.40375,3.44,3.27,3.27125,2.500046,25332000
21-01-2009,3.2575,3.34625,3.19875,3.3425,2.554498,26825600
22-01-2009,3.28625,3.3125,3.125,3.19125,2.438906,23449600
23-01-2009,3.1275,3.32375,3.12625,3.2575,2.489537,26676800
26-01-2009,3.28375,3.40375,3.26875,3.3375,2.550678,14914400
27-01-2009,3.37875,3.4225,3.3375,3.38875,2.589845,14131200
28-01-2009,3.47875,3.5475,3.45875,3.505,2.678688,18325600
29-01-2009,3.49375,3.5175,3.41125,3.4325,2.623281,17109600
30-01-2009,3.4225,3.43875,3.2975,3.32,2.537303,28686400
02-02-2009,3.29375,3.36375,3.2625,3.3275,2.543035,13543200
03-02-2009,3.3325,3.43875,3.285,3.43,2.621371,14094400
04-02-2009,3.42,3.465,3.33125,3.385,2.586979,26321600
05-02-2009,3.29375,3.3725,3.24375,3.35,2.56023,24144000
06-02-2009,3.36375,3.64625,3.30625,3.62375,2.769443,39576800
09-02-2009,3.58125,3.6675,3.5125,3.6675,2.802878,17959200
10-02-2009,3.625,3.6275,3.38375,3.38875,2.589845,29436000
11-02-2009,3.4775,3.5,3.33375,3.37375,2.578381,27300800
12-02-2009,3.3125,3.39375,3.22,3.38375,2.586023,32251200
13-02-2009,3.38125,3.4075,3.26,3.2975,2.520107,24628800
17-02-2009,3.17375,3.1975,3.10625,3.13625,2.396872,26672000
18-02-2009,3.115,3.18375,3.09375,3.14375,2.402604,17381600
19-02-2009,3.1625,3.24,3.08,3.09,2.361526,18327200
20-02-2009,3.055,3.1275,2.98875,3.02,2.308028,25161600
23-02-2009,3.045,3.0825,2.95625,2.96,2.262174,18278400
24-02-2009,3.01375,3.10875,2.9875,3.0975,2.367257,18969600
25-02-2009,3.06625,3.13125,3.04125,3.0775,2.351973,18157600
26-02-2009,3.09625,3.1325,3.025,3.025,2.31185,26313600
27-02-2009,3.03375,3.08125,2.98625,3.025,2.31185,26348800
02-03-2009,2.9425,2.9875,2.83625,2.8475,2.176196,37369600
03-03-2009,2.84875,2.93875,2.82625,2.885,2.204854,22074400
04-03-2009,2.9375,3.05875,2.9375,3.01,2.300385,20149600
05-03-2009,2.9375,2.97125,2.85,2.8675,2.19148,23500800
06-03-2009,2.92,2.93875,2.84875,2.915,2.227783,26074400
09-03-2009,2.9125,2.9225,2.82875,2.8525,2.180017,14088000
10-03-2009,2.89625,3.065,2.8675,3.06375,2.341464,22357600
11-03-2009,3.095,3.165,3.0525,3.0625,2.340509,19701600
12-03-2009,3.05,3.17625,3.0375,3.175,2.426487,21344800
13-03-2009,3.21125,3.23125,3.12125,3.165,2.418844,23029600
16-03-2009,3.18375,3.21625,3.135,3.13625,2.396872,19958400
17-03-2009,3.14875,3.175,3.075,3.17,2.422665,22089600
18-03-2009,3.1375,3.3075,3.1375,3.275,2.502912,24007200
19-03-2009,3.32375,3.3675,3.3025,3.34375,2.555454,22246400
20-03-2009,3.365,3.3925,3.21,3.23625,2.473297,21771200
