Date,Open,High,Low,Close,Adj Close,Volume
02-01-2020,10.3,10.34,10.23,10.29,10.039379,5688000
03-01-2020,10.29,10.35,10.26,10.31,10.058892,6992200
06-01-2020,10.22,10.25,10.17,10.21,9.961328,10068900
07-01-2020,10.12,10.17,10.1,10.1,9.854008,10589100
08-01-2020,10,10.12,9.99,10.09,9.844251,13440400
09-01-2020,10.21,10.51,10.15,10.48,10.224751,28436900
10-01-2020,11.1,11.15,10.62,10.65,10.390611,30794600
13-01-2020,10.95,10.98,10.8,10.88,10.615009,13659600
14-01-2020,10.87,10.9,10.77,10.86,10.595495,15188300
15-01-2020,10.83,10.93,10.73,10.85,10.58574,11884300
16-01-2020,10.84,10.94,10.81,10.85,10.58574,8511200
17-01-2020,10.84,10.92,10.72,10.88,10.615009,6604300
21-01-2020,10.77,10.91,10.77,10.85,10.58574,15790000
22-01-2020,10.94,11.07,10.92,11.04,10.771112,22364600
23-01-2020,11.09,11.12,10.88,11.06,10.790626,27833700
24-01-2020,11.07,11.12,10.94,11.03,10.761355,21191300
27-01-2020,10.83,11.01,10.83,10.99,10.72233,13542100
28-01-2020,10.99,11.14,10.95,11.1,10.829652,15422800
29-01-2020,11.18,11.27,11.04,11.06,10.790626,19730500
30-01-2020,11,11.08,10.97,11.06,10.790626,10487100
31-01-2020,10.96,11,10.9,10.96,10.693061,24260300
03-02-2020,10.88,10.95,10.78,10.94,10.673548,11681900
04-02-2020,11.08,11.16,11.05,11.1,10.829652,7737200
05-02-2020,11.1,11.13,11.03,11.04,10.771112,10488300
06-02-2020,10.97,11.04,10.95,10.96,10.693061,16312500
07-02-2020,10.95,10.99,10.84,10.85,10.58574,8140300
10-02-2020,10.85,10.96,10.83,10.92,10.654035,4589700
11-02-2020,10.97,11.03,10.93,10.95,10.683304,6526500
12-02-2020,11.08,11.22,11.06,11.22,10.946729,9928100
13-02-2020,11.22,11.26,11.09,11.1,10.829652,9416900
14-02-2020,11.08,11.12,11.01,11.01,10.741843,5420300
18-02-2020,11.15,11.27,11.14,11.21,10.936972,8421200
19-02-2020,11.24,11.34,11.22,11.3,11.02478,7540600
20-02-2020,11.22,11.38,11.19,11.36,11.083319,11640000
21-02-2020,11.33,11.44,11.3,11.41,11.132101,10524200
24-02-2020,11.11,11.29,11.11,11.22,10.946729,11279100
25-02-2020,11.2,11.34,10.94,11.02,10.7516,20686000
26-02-2020,11.01,11.14,10.95,11,10.732086,16736100
27-02-2020,10.82,10.91,10.61,10.62,10.361341,23272000
28-02-2020,10.18,10.31,9.99,10.07,9.824738,21543200
02-03-2020,10.13,10.39,10.03,10.36,10.107674,16473900
03-03-2020,10.34,10.54,10.13,10.21,9.961328,12922700
04-03-2020,10.35,10.48,10.22,10.47,10.214995,12536000
05-03-2020,10.32,10.36,10.07,10.13,9.883277,12249800
06-03-2020,9.96,10.04,9.59,9.78,9.5418,15525700
09-03-2020,9.21,9.35,8.79,9.08,8.85885,12921200
10-03-2020,9.42,9.45,9.01,9.19,8.966169,21848100
11-03-2020,9.06,9.18,8.85,8.9,8.683233,24616200
12-03-2020,8.3,8.39,8,8.05,7.853937,17213700
13-03-2020,8.6,8.64,8,8.38,8.175899,35410600
16-03-2020,7.35,7.87,7.24,7.37,7.190498,19661600
17-03-2020,7.4,7.93,7.12,7.87,7.67832,20011000
18-03-2020,7.1,7.53,7.08,7.35,7.170985,25345100
19-03-2020,7.32,7.35,7.03,7.13,6.956344,13834300
20-03-2020,7.5,7.56,6.86,6.94,6.770971,22880400
23-03-2020,6.92,7.19,6.76,7.12,6.946587,26046500
24-03-2020,7.83,8.06,7.51,7.74,7.551486,20455100
25-03-2020,7.76,8.38,7.68,8.19,7.990525,22259700
